symbol,name,industry,exchange,price,pe_ttm,pb,turnover_rate,market_cap_10k,circulating_cap_10k,dividend_yield_ttm,date,market_cap,circulating_cap,median_pe,median_pb,pe_discount,pb_discount,score
000019.SZ,深粮控股,农业综合,SZSE,34.49,26.4788,1.721,6.182,858638.7642,310081.2232,2.0134,2026-03-06,85.86387642,31.008122320000002,29.9079,2.2085999999999997,11.465532518164101,22.077334057774145,17.249613224597883
001338.SZ,永顺泰,啤酒,SZSE,13.52,19.6845,1.7589,2.0589,654758.7384,654758.7384,2.2989,2026-03-06,65.47587384,65.47587384,21.5242,2.28195,8.547123702623093,22.92118582791035,17.191905229422343
600909.SH,华安证券,证券,SSE,7.8999999999999995,13.9753,1.244,1.8693,2940495.9899,2940495.9899,2.2274,2026-03-06,294.04959899,294.04959899,19.207250000000002,1.22475,27.23945385206108,-1.5717493365993151,17.106456739844635
601518.SH,吉林高速,路桥,SSE,4.89,10.3738,1.0059,1.0862,565275.3975,565275.3975,2.8763,2026-03-06,56.527539749999995,56.527539749999995,12.9667,1.0202,19.996606692527784,1.4016859439325624,17.048048460190884
603658.SH,安图生物,医疗保健,SSE,54.74,18.2183,2.2866,0.3334,1999986.688,1999986.688,3.6,2026-03-06,199.99866880000002,199.99866880000002,21.2576,2.3248,14.297474785488484,1.643152099105305,17.011935543926985
000975.SZ,山金国际,黄金,SZSE,274.77,28.4899,5.6752,1.406,8466226.186,7706141.5126,1.1971,2026-03-06,846.6226186000001,770.61415126,39.8692,6.0621,28.541580969771154,6.382276768776496,16.92261541854141
601107.SH,四川成渝,路桥,SSE,8.29,11.8876,1.0242,0.5332,1944926.16,1375502.64,4.5597,2026-03-06,194.492616,137.550264,12.9667,1.0202,8.322086575612907,-0.3920799843168066,16.890310634950122
600079.SH,ST人福,化学制药,SSE,368.44999999999993,22.5189,1.7009,0.7471,3217117.377,3041605.3557,1.6235,2026-03-06,321.71173769999996,304.16053557000004,24.56945,2.3919499999999996,8.345933669658868,28.890654068855937,16.876069688520328
601333.SH,广深铁路,铁路,SSE,4.34,16.9068,0.7841,1.1838,2210063.544,1763497.944,2.2436,2026-03-06,221.00635440000002,176.34979439999998,17.91605,1.0606499999999999,5.633217143287716,26.07363409230188,16.80617708500565
001332.SZ,锡装股份,专用机械,SZSE,87.88,27.153,2.6586,10.458,670674.3,291381.2511,1.3143,2026-03-06,67.06743,29.13812511,37.0845,2.8635,26.780730493872106,7.155578837087495,16.801865848675092
600728.SH,佳都科技,软件服务,SSE,94.67,50.7048,1.7236,1.3031,1354200.5307,1354200.5307,0.0,2026-03-06,135.42005307,135.42005307,51.951049999999995,3.65165,2.3988928038990442,52.79941944052688,16.799382953717682
603008.SH,喜临门,家居用品,SSE,32.4,20.3413,1.8886,1.205,704911.7206,704911.7206,4.203,2026-03-06,70.49117206,70.49117206,21.7759,1.9889,6.588017027998838,5.042988586655928,16.757103387196313
601952.SH,苏垦农发,种植业,SSE,15.57,24.9925,1.9645,1.8847,1383512.0,1383512.0,2.6892,2026-03-06,138.3512,138.3512,29.4132,2.1494,15.029646553248199,8.602400669954413,16.6601788222856
