symbol,total_amount,total_shares,num_buyers,key_person_amount,key_person_count,latest_date,key_person_details
688213,9188170.2,343740,3,9188170.2,3,2026-01-12,"[{'name': '马伟剑', 'title': '董事、高级管理人员、核心技术人员', 'amount': 2181168.0, 'shares': 81600, 'price': 26.73, 'date': Timestamp('2026-01-12 00:00:00'), 'is_key': True}, {'name': '莫要武', 'title': '高级管理人员、核心技术人员', 'amount': 2453814.0, 'shares': 91800, 'price': 26.73, 'date': Timestamp('2025-12-17 00:00:00'), 'is_key': True}, {'name': 'XU CHEN', 'title': '董事、高级管理人员、核心技术人员', 'amount': 4553188.2, 'shares': 170340, 'price': 26.73, 'date': Timestamp('2025-12-17 00:00:00'), 'is_key': True}]"
603700,8715000.0,700000,1,8715000.0,1,2025-12-12,"[{'name': '张琳', 'title': '董事', 'amount': 8715000.0, 'shares': 700000, 'price': 12.45, 'date': Timestamp('2025-12-12 00:00:00'), 'is_key': True}]"
300469,8561361.0,135100,1,8561361.0,3,2025-12-19,"[{'name': '顾成', 'title': '董事、高管', 'amount': 4997889.0, 'shares': 78300, 'price': 63.83, 'date': Timestamp('2025-12-19 00:00:00'), 'is_key': True}, {'name': '顾成', 'title': '董事、高管', 'amount': 1997734.0, 'shares': 31700, 'price': 63.02, 'date': Timestamp('2025-12-12 00:00:00'), 'is_key': True}, {'name': '顾成', 'title': '董事、高管', 'amount': 1565738.0, 'shares': 25100, 'price': 62.38, 'date': Timestamp('2025-12-11 00:00:00'), 'is_key': True}]"
600365,7755000.0,2750000,1,7755000.0,1,2025-12-29,"[{'name': '刘猛', 'title': '高级管理人员', 'amount': 7755000.0, 'shares': 2750000, 'price': 2.82, 'date': Timestamp('2025-12-29 00:00:00'), 'is_key': True}]"
605155,7194900.0,435000,6,7194900.0,6,2026-01-07,"[{'name': '董雨亭', 'title': '高级管理人员', 'amount': 827000.0, 'shares': 50000, 'price': 16.54, 'date': Timestamp('2026-01-07 00:00:00'), 'is_key': True}, {'name': '沈华锋', 'title': '董事、高级管理人员', 'amount': 2977200.0, 'shares': 180000, 'price': 16.54, 'date': Timestamp('2026-01-07 00:00:00'), 'is_key': True}, {'name': '沈兰芬', 'title': '董事', 'amount': 578900.0, 'shares': 35000, 'price': 16.54, 'date': Timestamp('2026-01-07 00:00:00'), 'is_key': True}]"
688108,8145280.0,1830400,6,7148480.0,5,2026-01-16,"[{'name': '黄凯', 'title': '董事、高级管理人员', 'amount': 170880.0, 'shares': 38400, 'price': 4.45, 'date': Timestamp('2026-01-16 00:00:00'), 'is_key': True}, {'name': '陈琳', 'title': '董事', 'amount': 996800.0, 'shares': 224000, 'price': 4.45, 'date': Timestamp('2026-01-16 00:00:00'), 'is_key': True}, {'name': '沈立华', 'title': '高级管理人员', 'amount': 996800.0, 'shares': 224000, 'price': 4.45, 'date': Timestamp('2026-01-16 00:00:00'), 'is_key': True}]"
688557,6999837.460000001,188938,4,6999837.46,8,2026-03-03,"[{'name': '董新军', 'title': '高级管理人员', 'amount': 201057.97999999998, 'shares': 5678, 'price': 35.41, 'date': Timestamp('2026-03-03 00:00:00'), 'is_key': True}, {'name': '沈长鹏', 'title': '董事、核心技术人员', 'amount': 304013.6, 'shares': 8492, 'price': 35.8, 'date': Timestamp('2026-03-03 00:00:00'), 'is_key': True}, {'name': '林茂', 'title': '董事', 'amount': 300888.0, 'shares': 8400, 'price': 35.82, 'date': Timestamp('2026-03-03 00:00:00'), 'is_key': True}]"
688548,6755833.6,518992,2,6755833.6,2,2026-02-10,"[{'name': '贺新', 'title': '高级管理人员', 'amount': 99549.36, 'shares': 4596, 'price': 21.66, 'date': Timestamp('2026-02-10 00:00:00'), 'is_key': True}, {'name': '邓韬', 'title': '董事、高级管理人员、核心技术人员', 'amount': 6656284.239999999, 'shares': 514396, 'price': 12.94, 'date': Timestamp('2025-12-19 00:00:00'), 'is_key': True}]"
600733,7170062.0,865800,9,6572518.0,9,2026-01-30,"[{'name': '庞新福', 'title': '高级管理人员', 'amount': 269204.0, 'shares': 33400, 'price': 8.06, 'date': Timestamp('2026-01-30 00:00:00'), 'is_key': True}, {'name': '庞新福', 'title': '高级管理人员', 'amount': 275187.0, 'shares': 34100, 'price': 8.07, 'date': Timestamp('2026-01-29 00:00:00'), 'is_key': True}, {'name': '孙佳', 'title': '高级管理人员', 'amount': 506759.99999999994, 'shares': 61800, 'price': 8.2, 'date': Timestamp('2026-01-29 00:00:00'), 'is_key': True}]"
300592,6010539.0,566700,1,6010539.0,2,2025-12-16,"[{'name': '庄俊超', 'title': '董事', 'amount': 1010187.0, 'shares': 96300, 'price': 10.49, 'date': Timestamp('2025-12-16 00:00:00'), 'is_key': True}, {'name': '庄俊超', 'title': '董事', 'amount': 5000352.0, 'shares': 470400, 'price': 10.63, 'date': Timestamp('2025-12-12 00:00:00'), 'is_key': True}]"
