symbol,name,industry,exchange,price,pe_ttm,pb,ps_ttm,turnover_rate,volume_ratio,market_cap_10k,circulating_cap_10k,dividend_yield_ttm,date,market_cap,circulating_cap,momentum_20d,momentum_60d,price_vs_ma120,price_vs_ma60,volatility_20d,pe_score,pb_score,ps_score,dividend_score,momentum_20d_score,momentum_60d_score,turnover_deviation,turnover_score,volume_ratio_deviation,volume_ratio_score,stability_score,total_score
002061.SZ,浙江交科,建筑工程,SZSE,4.1,9.2481,0.6952,0.2259,1.1253,0.9,1096462.8073,1065646.539,3.0445,2026-03-09,109.64628073,106.56465390000001,0.7371007371007154,0.7371007371007154,,1.006670213201293,18.085859222340915,96.15877080665813,97.24711907810499,97.82330345710628,76.95262483994878,54.09731113956467,42.25352112676056,0.37470000000000003,77.65685019206146,0.29999999999999993,53.13700384122919,91.93341869398208,73.54353393085789
600704.SH,物产中大,仓储物流,SSE,5.53,7.5279,0.7074,0.0484,1.3987,0.9,2859662.4792,2859662.4792,5.6058,2026-03-09,285.96624792,285.96624792,-1.073345259391767,1.2820512820512775,,0.9753946556133699,27.74181725659482,97.63124199743918,97.0550576184379,99.74391805377721,96.22279129321383,43.9820742637644,44.558258642765686,0.10129999999999995,94.1741357234315,0.29999999999999993,53.13700384122919,64.14852752880921,73.49231754161332
600998.SH,九州通,医药商业,SSE,5.28,9.5542,1.0056,0.1688,0.7294,0.89,2662424.2836,2662424.2836,3.7458,2026-03-09,266.24242836,266.24242836,2.5242718446601975,3.937007874015741,,1.0087886893389377,20.157709828754864,95.83866837387964,90.97311139564661,98.65556978233035,84.63508322663252,62.13188220230473,53.52112676056338,0.7706,53.457106274007685,0.30999999999999994,50.736235595390525,87.13188220230474,73.49071702944943
600742.SH,富维股份,汽车配件,SSE,10.41,15.4625,0.9245,0.3914,1.952,0.79,773523.2531,773523.2531,6.4361,2026-03-09,77.35232531,77.35232531,9.69441517386722,6.769230769230772,,1.0352714977126567,35.08096690142613,81.62612035851473,93.46991037131882,95.58258642765685,97.82330345710626,84.50704225352112,61.651728553137005,0.45199999999999996,72.88732394366197,0.4099999999999999,31.04993597951345,43.085787451984636,73.47631241997438
000951.SZ,中国重汽,汽车整车,SZSE,20.75,15.275,1.6062,0.4703,2.2508,1.39,2437853.922,2437853.922,3.4525,2026-03-09,243.7853922,243.7853922,11.8598382749326,21.915393654524085,,1.141573445809646,51.100979655341504,82.3303457106274,70.99871959026889,93.91805377720871,81.49807938540333,88.02816901408451,86.10755441741357,0.7507999999999999,54.48143405889885,0.18999999999999995,73.75160051216389,16.38924455825864,73.45710627400769
002479.SZ,富春环保,新型电力,SZSE,5.58,21.4114,1.1453,0.8663,2.6803,1.14,482670.0,481594.647,2.6882,2026-03-09,48.267,48.1594647,6.083650190114076,12.04819277108433,,1.0850050231714037,25.05873068257164,62.22791293213829,87.25992317541613,85.595390524968,71.95902688860436,75.28809218950065,73.75160051216389,1.1803,35.979513444302185,0.06000000000000005,92.797695262484,73.5595390524968,73.29385403329066
000157.SZ,中联重科,工程机械,SZSE,9.35,18.798,1.4288,1.676,1.5577,1.4,8086380.4457,6610840.2344,5.3476,2026-03-09,808.63804457,661.08402344,8.217592592592581,11.177170035671825,,1.0427315477407482,44.31411174790004,70.42253521126761,77.46478873239437,64.9807938540333,95.45454545454545,80.98591549295774,72.59923175416134,0.057700000000000085,96.86299615877081,0.19999999999999996,71.79897567221511,25.22407170294494,73.25864276568501
601991.SH,大唐发电,火力发电,SSE,4.06,11.0676,2.2043,0.6167,1.2571,0.86,7513724.4646,5032812.177,2.8842,2026-03-09,751.37244646,503.2812177,8.847184986595158,13.407821229050265,,1.0891044842848838,30.94680030889806,93.08578745198463,51.02432778489116,90.97311139564661,74.96798975672215,82.33034571062741,76.24839948783611,0.2428999999999999,84.89116517285531,0.33999999999999997,44.078104993597954,54.03329065300896,73.0921895006402
601200.SH,上海环境,环境保护,SSE,8.81,19.9408,1.023,1.8103,1.6045,1.1,1186028.8511,1186028.8511,1.1351,2026-03-09,118.60288511,118.60288511,5.005959475566146,8.765432098765435,,1.0613392229695815,20.28746010266322,66.77336747759284,90.58898847631242,61.20358514724712,33.546734955185656,71.51088348271448,67.41357234314981,0.10450000000000004,93.66197183098592,0.09999999999999987,88.63636363636364,86.55569782330346,72.93533930857875
000999.SZ,华润三九,中成药,SZSE,30.07,14.6248,2.2571,1.5822,1.1486,1.12,5004303.099,4999720.867,2.3178,2026-03-09,500.43030990000005,499.9720867,7.010676156583617,6.517888770811187,,1.0491486788239672,21.02423182430338,84.37900128040974,49.423815620998724,67.41357234314981,64.9807938540333,78.29705505761844,60.62740076824584,0.35139999999999993,78.93725992317542,0.07999999999999985,90.65300896286811,84.25096030729834,72.84250960307298
002078.SZ,太阳纸业,造纸,SZSE,16.56,14.2049,1.5169,1.181,1.1153,1.12,4627750.1571,4599366.4313,2.4155,2026-03-09,462.77501571000005,459.93664313000005,5.544933078393877,7.184466019417468,,1.0369118061425753,32.91397072909783,85.2752880921895,74.39180537772087,79.449423815621,67.09346991037131,73.11139564660691,62.54801536491678,0.38470000000000004,77.14468629961587,0.07999999999999985,90.65300896286811,47.82330345710627,72.53201024327785
601369.SH,陕鼓动力,机械基件,SSE,12.1,21.0032,2.3739,2.0499,1.7208,1.29,2085404.1353,2064515.6633,3.5537,2026-03-09,208.54041353,206.45156633,13.08411214953271,29.828326180257502,,1.1494980841698597,42.13187414044859,63.572343149807935,44.686299615877076,55.63380281690141,82.84250960307298,89.75672215108835,91.101152368758,0.2208000000000001,86.23559539052496,0.09000000000000008,89.27656850192062,29.065300896286814,72.25992317541612
000932.SZ,华菱钢铁,普钢,SZSE,6.19,15.3101,0.7685,0.3328,1.0917,1.06,4241765.07,4241765.07,1.6188,2026-03-09,424.176507,424.176507,8.21678321678323,10.535714285714292,,1.052959854842368,55.799798036006024,82.13828425096031,95.90268886043533,96.73495518565942,49.10371318822023,80.92189500640204,71.51088348271448,0.4083000000000001,75.67221510883482,0.1399999999999999,82.01024327784891,11.779769526248401,72.19910371318821
002758.SZ,浙农股份,批发业,SZSE,10.81,12.8171,1.1722,0.1265,3.0597,1.29,560825.5014,560179.9552,2.7255,2026-03-09,56.082550139999995,56.01799552,6.607495069033531,8.425275827482448,,1.0494975809452922,36.5005563636768,89.43661971830986,85.97951344430217,99.29577464788733,72.85531370038413,76.82458386683739,66.38924455825864,1.5596999999999999,28.297055057618437,0.09000000000000008,89.27656850192062,40.07682458386683,72.00384122919334
601916.SH,浙商银行,银行,SSE,3.01,5.9265,0.466,1.2899,0.7076,0.92,8266855.4249,6484875.2249,5.1827,2026-03-09,826.68554249,648.48752249,2.3809523809523725,-2.272727272727282,,1.0013306719893547,12.445042154660154,98.65556978233035,99.29577464788733,76.24839948783611,94.62227912932138,61.4596670934699,32.3303457106274,0.7924,52.36875800256082,0.2799999999999999,57.74647887323944,98.71959026888604,71.83418693982074
