symbol,name,industry,list_date,price,pe_ttm,pb,market_cap,circulating_cap,turnover_rate,dividend_yield_ttm,median_pe,median_pb,median_market_cap,stock_count,pe_vs_industry,growth_score
688718.SH,唯赛勃,塑料,2021-07-28,,61.0503,3.5285,28.148211019999998,28.148211019999998,3.0903,0.7123,38.6252,3.3695500000000003,44.932663250000004,42.0,58.05821070182161,40
603810.SH,丰山集团,农药化肥,2018-09-17,,98.9249,1.8367,28.19004716,28.19004716,2.8378,,26.456,2.5547,109.90693881000001,37.0,273.92236165709096,40
300642.SZ,透景生命,医疗保健,2017-04-21,,178.9132,1.936,28.477715980000003,24.12626044,2.1247,0.8484,36.9026,2.8358499999999998,67.744790975,94.0,384.8254594527214,40
600128.SH,苏豪弘业,商贸代理,1997-09-01,,61.1364,1.3116,28.54263258,27.983434499999998,2.5352,0.8646,28.6252,1.3721,109.818735965,6.0,113.57545100121573,40
600857.SH,宁波中百,百货,1994-04-25,,75.3889,3.2132,28.62322166,28.62322166,1.4239,,37.2023,1.3022,44.7216,17.0,102.64580415726985,40
603999.SH,读者传媒,出版业,2015-12-10,,60.5902,2.0807,42.5664,42.5664,1.7831,0.4465,16.8846,1.2855,123.41805866,21.0,258.84889188965093,40
603696.SH,安记食品,食品,2015-12-09,,101.2895,7.024,40.76016,40.76016,2.3082,0.5193,27.69005,2.42235,59.643046725,64.0,265.79746154304524,40
000548.SZ,湖南投资,路桥,1993-12-20,,62.2979,1.3857,28.65498755,28.652587540000003,1.7494,0.8711,13.054,1.0146,103.18944,19.0,377.2322659721158,40
301331.SZ,恩威医药,中成药,2022-09-21,,55.0428,2.7343,28.65539053,28.60078503,1.0506,1.8788,21.885,2.327,66.944,43.0,151.50925291295405,40
002051.SZ,中工国际,建筑工程,2006-06-19,,37.0372,0.9778,113.8416222,113.83506996,2.5018,1.3587,22.912149999999997,1.85595,82.64635561,66.0,61.648732222859934,40
301362.SZ,民爆光电,电气设备,2023-08-04,,58.8537,4.5734,113.96469599999999,32.304696,21.5473,1.7158,44.2981,3.26595,92.1528,172.0,32.858294148056025,40
600819.SH,耀皮玻璃,玻璃,1994-01-28,,55.1679,2.0807,79.31267433,60.690184640000005,1.1393,0.4082,42.4458,2.4408,202.371915,7.0,29.97257679205011,40
301525.SZ,儒竞科技,家用电器,2023-08-30,,51.6967,2.434,79.36335276999999,41.57110728,4.2407,0.5348,28.5034,2.4257,72.63865877,63.0,81.37029266683975,40
002067.SZ,景兴纸业,造纸,2006-09-15,,128.0232,1.2011,79.49462267999999,72.09684768,3.8645,,26.23615,1.9428,55.933687379999995,22.0,387.9648881409811,40
600168.SH,武汉控股,水务,1998-04-27,,54.2735,0.9959,53.44478921,53.44478921,1.6267,0.5019,20.601750000000003,1.2843,80.752793545,12.0,163.44121251835398,40
600962.SH,国投中鲁,软饮料,2004-06-22,,94.2957,5.693,53.674387,53.674387,1.125,,30.4082,4.2133,84.45600612999999,7.0,210.09957840319387,40
600684.SH,珠江股份,区域地产,1993-10-28,,155.15,4.4064,54.19763987,41.81957543,4.0023,,32.356700000000004,1.0937999999999999,46.872116070000004,10.0,379.49883640791546,40
002641.SZ,公元股份,塑料,2011-12-08,,61.6151,0.9941,54.20303970999999,50.0091642,1.1285,1.1229,38.6252,3.3695500000000003,44.932663250000004,42.0,59.52046850242846,40
688283.SH,坤恒顺维,电器仪表,2022-02-15,,116.1287,5.5091,54.31061999999999,54.31061999999999,1.4437,0.579,42.51325,3.7175000000000002,48.593972005,60.0,173.15883871498886,40
002727.SZ,一心堂,医药商业,2014-07-02,,85.738,1.0572,77.35830491,52.484972400000004,1.8618,3.7108,26.1519,1.3078500000000002,76.540098955,24.0,227.84616031722362,40
300499.SZ,高澜股份,专用机械,2016-02-02,,7308.7935,8.2468,114.16296294,101.50495986,17.1217,,45.8908,3.3432000000000004,61.19272684,132.0,15826.489623192447,40
601678.SH,滨化股份,化工原料,2010-02-23,,51.6221,1.0042,114.7714642,114.0181642,9.4725,0.7004,40.87335,2.7121,70.847334845,142.0,26.297697644063923,40
688767.SH,博拓生物,医疗保健,2021-09-08,,116.7971,2.3071,54.65600024,54.65600024,1.4873,1.9516,36.9026,2.8358499999999998,67.744790975,94.0,216.5010053492166,40
688398.SH,赛特新材,矿物制品,2020-02-11,,164.0953,3.9785,40.94664064,40.94664064,2.061,0.4077,52.830349999999996,5.06625,110.62931074,16.0,210.60801225053405,40
002557.SZ,洽洽食品,食品,2011-03-02,,29.4255,2.2178,115.13264056,114.88643995000001,0.9865,4.3176,27.69005,2.42235,59.643046725,64.0,6.267413746092912,40
002633.SZ,申科股份,机械基件,2011-11-22,,479.4225,6.7498,28.725,28.613690629999997,4.0111,,41.7448,3.607,53.566907365000006,70.0,1048.4604070447099,40
603836.SH,海程邦达,仓储物流,2021-05-26,,84.8588,1.626,28.794503749999997,28.794503749999997,2.0475,1.0519,23.9118,1.8671,100.01544768,33.0,254.88252661865693,40
300412.SZ,迦南科技,医疗保健,2014-12-31,,92.0937,2.7922,28.820109279999997,27.089189299999997,3.3491,1.0363,36.9026,2.8358499999999998,67.744790975,94.0,149.55883867261386,40
002295.SZ,精艺股份,铜,2009-09-29,,236.7049,2.1304,28.820840000000004,28.78381,2.0756,0.313,40.384,3.204,308.37359082999996,15.0,486.1353506339144,40
300992.SZ,泰福泵业,机械基件,2021-05-25,,164.3713,3.3382,28.86869946,23.46538486,4.115,0.2424,41.7448,3.607,53.566907365000006,70.0,293.75275483413503,40
603332.SH,苏州龙杰,化纤,2019-01-17,,53.4009,2.2684,28.94725322,28.94725322,1.4868,1.639,33.4637,2.0447,114.32609461999999,19.0,59.5785881417775,40
600610.SH,中毅达,化工原料,1992-08-05,,251.4132,102.1206,115.91191226,76.68422948,5.5314,,40.87335,2.7121,70.847334845,142.0,515.1029949832837,40
301008.SZ,宏昌科技,家用电器,2021-06-11,,121.2272,2.749,41.135551799999995,36.3863598,1.6176,0.2741,28.5034,2.4257,72.63865877,63.0,325.30785800992163,40
920002.BJ,万达轴承,工程机械,2024-05-30,,65.7031,5.7823,41.18018604,28.82887365,1.9886,0.3899,36.0433,2.8809,100.39983889999999,31.0,82.28935752275736,40
002614.SZ,奥佳华,家用电器,2011-09-09,,60.3642,0.9569,41.35390923,29.25592658,2.2589,1.5077,28.5034,2.4257,72.63865877,63.0,111.7789456696394,40
301056.SZ,森赫股份,运输设备,2021-09-07,,56.929,5.3973,41.37861205,27.296953230000003,1.4977,3.8685,36.9185,2.1153,46.792109894999996,36.0,54.20182293430123,40
003038.SZ,鑫铂股份,铝,2021-02-10,,104.0466,1.3504,40.52660572,27.14458109,4.4052,,22.0426,2.4935,181.04267826,19.0,372.0250787112228,40
