symbol,current_price,price_6m_ago,latest_date,start_date,return_6m,name,industry,current_price_fund,pe_ttm,pb,market_cap,circulating_cap,turnover_rate,dividend_yield_ttm,median_pe,median_pb,stock_count,hist_median_pe,hist_avg_pe,hist_std_pe,hist_median_pb,hist_avg_pb,excess_decline,pe_vs_hist_median,pb_vs_hist_median,sentiment_score,fundamental_score,total_score
000858.SZ,,125.479999998028,2026-03-09,2025-09-10,-19.094676441189478,五粮液,白酒,,13.859,2.9743,3940.60844668,3940.44246858,0.458,5.661,15.7895,2.8338,13.0,15.598749999999999,16.01528755186722,1.6482879261006342,3.6300499999999998,3.72961908713693,-19.094676441189478,-11.153137270614627,-18.06448946984201,50,45,95
603300.SH,,10.03,2026-03-09,2025-09-10,-26.719840478564304,海南华铁,多元金融,,22.6332,2.2523,146.59610427,146.59610427,3.8341,0.3421,22.6332,1.6435,13.0,22.21255,21.826701250000003,8.354420476449949,2.24805,2.4356318749999994,-26.719840478564304,1.8937492543629544,0.18905273459219613,50,45,95
000963.SZ,,41.940000001022,2026-03-09,2025-09-10,-17.93037673065987,华东医药,化学制药,,16.3247,2.502,603.63622308,603.38710833,0.5538,2.7024,24.5447,2.3659999999999997,54.0,19.26045,19.163179045643147,1.539430209166599,2.8108,2.8220234439834027,-17.93037673065987,-15.242374918550702,-10.98619610075424,50,45,95
600882.SH,,26.06,2026-03-09,2025-09-10,-20.03069838833461,妙可蓝多,乳制品,,51.974,2.2997,106.29518003,106.29518003,0.9422,,35.114,2.8365,9.0,81.26585,78.97866768867927,12.415599415115372,2.32175,2.3621393867924527,-20.03069838833461,-36.04447624678755,-0.949714654893943,70,25,95
002605.SZ,,29.71,2026-03-09,2025-09-10,-22.113766408616627,姚记科技,互联网,,19.1346,2.6254,96.6445217,78.03917424,2.5481,2.154,28.406,3.6488,14.0,21.3213,21.72524439834025,4.322943813502356,3.1523,3.1307114107883818,-22.113766408616627,-10.255941241856743,-16.71477968467468,60,35,95
002550.SZ,,10.02,2026-03-09,2025-09-10,-24.750499001996005,千红制药,生物制药,,22.4582,3.5079,96.49691999999999,70.96950957,1.389,1.5542,26.59555,2.39415,16.0,26.8903,27.803756224066394,4.575898052550041,3.2358000000000002,3.5449346473029046,-24.750499001996005,-16.48215155650922,8.409048766920067,60,35,95
002020.SZ,,19.62,2026-03-09,2025-09-10,-21.712538226299703,京新药业,化学制药,,18.5604,2.3402,132.2540759,111.20153626000001,1.6527,2.1538,24.5447,2.3659999999999997,54.0,16.048000000000002,17.64614190871369,3.74084030192664,1.9745,2.193079045643154,-21.712538226299703,15.655533399800595,18.521144593567985,50,45,95
600480.SH,,13.58000000028,2026-03-09,2025-09-10,-20.324005892659002,凌云股份,汽车配件,,17.8018,1.6972,132.251175,130.29032678000002,1.0743,3.0572,33.012,2.6005,113.0,19.2085,18.024630912863074,4.781298289850447,1.8113000000000001,1.6756539419087135,-20.324005892659002,-7.323320405029027,-6.299343013305365,50,45,95
002124.SZ,,3.09,2026-03-09,2025-09-10,-18.12297734627832,天邦食品,农业综合,,14.9241,1.4285,56.21492595,49.90057259,3.516,,29.95825,2.1818,18.0,7.0374,10.124353097345134,4.616633186440734,1.6716,1.6785694690265487,-18.12297734627832,112.06837752579078,-14.542952859535765,40,50,90
002765.SZ,,12.99,2026-03-09,2025-09-10,-15.396458814472672,蓝黛科技,元器件,,37.4816,2.7268,71.66887709,65.48777689,2.0037,,45.1886,3.5744,71.0,53.714150000000004,53.339642500000004,12.162800216024376,3.3385499999999997,3.232547500000001,-15.396458814472672,-30.22024922669353,-18.323823216665915,60,30,90
